"Year","matmort","neomort","under5mort","infantmort","ISO"
2005,33,8.6,14.5,12.5,"UKR"
2006,31,8.3,14,12,"UKR"
2007,33,8,13.4,11.5,"UKR"
2008,33,7.6,12.9,11.1,"UKR"
2009,27,7.3,12.3,10.6,"UKR"
2010,25,7,11.7,10.1,"UKR"
2011,23,6.6,11.2,9.6,"UKR"
2012,24,6.3,10.7,9.2,"UKR"
2013,23,6,10.2,8.8,"UKR"
2014,24,5.8,9.8,8.4,"UKR"
2015,21,5.6,9.5,8.1,"UKR"
2016,20,5.4,9.2,7.9,"UKR"
2017,19,5.3,8.9,7.6,"UKR"
2018,NA,5.1,8.6,7.4,"UKR"
2019,NA,5,8.4,7.2,"UKR"
2000,67,18.6,35.1,28.5,NA
2001,65,17.5,33.1,26.9,NA
2002,63,16.4,31.2,25.3,NA
2003,63,15.3,29.3,23.7,NA
2004,61,14.2,27.5,22.2,NA
2005,60,13.2,25.8,20.8,NA
2006,59,12.2,24.3,19.5,NA
2007,57,11.4,22.8,18.3,NA
2008,55,10.6,21.3,17.1,NA
2009,52,9.9,19.9,16,NA
2010,50,9.3,18.6,15,NA
2011,47,8.8,17.5,14.2,NA
2012,45,8.3,16.5,13.4,NA
2013,44,7.9,15.6,12.7,NA
2014,44,7.4,14.8,12.1,NA
2015,43,7.1,14.1,11.5,NA
2016,42,6.8,13.5,11,NA
2017,41,6.5,12.8,10.4,NA
2018,NA,6.2,12.2,10,NA
2019,NA,5.9,11.7,9.5,NA
2000,26,8.5,17,14.8,"URY"
2001,25,8.4,16.5,14.4,"URY"
2002,25,8.2,16.2,14.1,"URY"
2003,23,8,15.7,13.7,"URY"
2004,23,7.8,15.1,13.2,"URY"
2005,22,7.3,14.4,12.5,"URY"
2006,20,6.8,13.5,11.7,"URY"
2007,20,6.1,12.6,11,"URY"
2008,19,5.4,11.8,10.3,"URY"
2009,19,5,11.2,9.7,"URY"
2010,17,4.8,10.7,9.3,"URY"
2011,17,4.8,10.3,8.9,"URY"
2012,17,5,10,8.6,"URY"
2013,18,5.1,9.7,8.3,"URY"
2014,17,5.2,9.3,8,"URY"
2015,18,5,8.9,7.6,"URY"
2016,18,4.8,8.4,7.2,"URY"
2017,17,4.4,7.8,6.8,"URY"
2018,NA,4,7.3,6.3,"URY"
2019,NA,4,6.7,5.8,"URY"
2000,12,4.6,8.4,7.1,"USA"
2001,13,4.6,8.3,7,"USA"
2002,13,4.6,8.2,6.9,"USA"
2003,13,4.6,8.1,6.9,"USA"
2004,13,4.6,8.1,6.8,"USA"
2005,13,4.5,8,6.7,"USA"
2006,14,4.4,7.9,6.7,"USA"
2007,14,4.3,7.7,6.6,"USA"
2008,14,4.3,7.6,6.5,"USA"
2009,15,4.2,7.5,6.4,"USA"
2010,15,4.1,7.3,6.2,"USA"
2011,15,4.1,7.2,6.1,"USA"
2012,16,4.1,7.1,6,"USA"
2013,16,4,7,6,"USA"
2014,16,4,6.9,5.9,"USA"
2015,18,3.9,6.8,5.8,"USA"
2016,19,3.8,6.7,5.7,"USA"
2017,19,3.8,6.6,5.7,"USA"
2018,NA,3.7,6.5,5.6,"USA"
2019,NA,3.5,6.4,5.5,"USA"
2000,41,27.8,60.7,50.8,"UZB"
2001,41,26.9,57.4,48.4,"UZB"
2002,41,25.8,53.9,45.7,"UZB"
2003,39,24.7,50.4,43,"UZB"
2004,37,23.6,46.8,40.1,"UZB"
2005,38,22.4,43.4,37.4,"UZB"
2006,37,21.2,40.1,34.8,"UZB"
2007,35,20,37,32.2,"UZB"
2008,34,18.4,34,29.8,"UZB"
2009,32,16.9,31.3,27.5,"UZB"
2010,31,15.5,28.7,25.4,"UZB"
2011,32,14.3,26.4,23.4,"UZB"
2012,32,13.1,24.4,21.7,"UZB"
2013,31,12.1,22.5,20,"UZB"
2014,30,11.2,20.8,18.6,"UZB"
2015,30,10.4,19.3,17.3,"UZB"
2016,29,9.8,18,16.1,"UZB"
2017,29,9.2,16.8,15,"UZB"
2018,NA,8.6,15.8,14.1,"UZB"
2019,NA,8.1,14.8,13.3,"UZB"
2000,80,13.1,22.2,19.2,"VCT"
2001,75,13.1,22,19.1,"VCT"
2002,72,13.1,21.9,19.1,"VCT"
2003,69,13.1,21.7,19,"VCT"
2004,64,13,21.6,19,"VCT"
2005,59,12.9,21.5,18.9,"VCT"
2006,62,12.9,21.3,18.8,"VCT"
2007,67,12.9,21.1,18.7,"VCT"
2008,70,12.8,20.8,18.5,"VCT"
2009,67,12.7,20.4,18.2,"VCT"
2010,63,12.6,19.8,17.8,"VCT"
2011,64,12.3,19.2,17.3,"VCT"
2012,71,11.9,18.6,16.8,"VCT"
2013,73,11.5,18,16.2,"VCT"
2014,69,11,17.4,15.7,"VCT"
2015,64,10.6,16.7,15.2,"VCT"
2016,67,10.2,16.2,14.7,"VCT"
2017,68,9.8,15.6,14.3,"VCT"
2018,NA,9.4,15.1,13.8,"VCT"
2019,NA,9.1,14.6,13.4,"VCT"
2000,119,11.1,21.6,18.4,"VEN"
2001,123,10.6,20.9,17.8,"VEN"
2002,135,10.1,20.3,17.4,"VEN"
2003,127,9.9,19.8,16.9,"VEN"
2004,119,10.2,19.1,16.4,"VEN"
2005,113,10.6,18.5,15.8,"VEN"
2006,114,10.5,17.9,15.4,"VEN"
2007,114,10.2,17.4,15,"VEN"
2008,116,10.1,17.2,14.7,"VEN"
2009,119,10.2,17,14.6,"VEN"
2010,117,10.5,17.1,14.7,"VEN"
2011,116,10.9,17.2,14.7,"VEN"
2012,116,11.3,17.3,14.9,"VEN"
2013,115,11.5,17.6,15.1,"VEN"
2014,113,11.3,18,15.4,"VEN"
2015,115,14.5,19.1,16.4,"VEN"
2016,121,14.6,24.2,21.1,"VEN"
2017,125,14.7,24.2,21.1,"VEN"
2018,NA,14.6,24.2,21.1,"VEN"
2019,NA,14.6,24.2,21.1,"VEN"
2000,NA,NA,NA,NA,"VGB"
2001,NA,NA,NA,NA,"VGB"
2002,NA,NA,NA,NA,"VGB"
2003,NA,NA,NA,NA,"VGB"
2004,NA,NA,NA,NA,"VGB"
2005,NA,NA,NA,NA,"VGB"
2006,NA,NA,NA,NA,"VGB"
2007,NA,NA,NA,NA,"VGB"
2008,NA,NA,NA,NA,"VGB"
2009,NA,NA,NA,NA,"VGB"
2010,NA,NA,NA,NA,"VGB"
2011,NA,NA,NA,NA,"VGB"
2012,NA,NA,NA,NA,"VGB"
2013,NA,NA,NA,NA,"VGB"
2014,NA,NA,NA,NA,"VGB"
2015,NA,NA,NA,NA,"VGB"
2016,NA,NA,NA,NA,"VGB"
2017,NA,NA,NA,NA,"VGB"
2018,NA,NA,NA,NA,"VGB"
2019,NA,NA,NA,NA,"VGB"
2000,NA,NA,NA,NA,"VIR"
2001,NA,NA,NA,NA,"VIR"
2002,NA,NA,NA,NA,"VIR"
2003,NA,NA,NA,NA,"VIR"
2004,NA,NA,NA,NA,"VIR"
2005,NA,NA,NA,NA,"VIR"
2006,NA,NA,NA,NA,"VIR"
2007,NA,NA,NA,NA,"VIR"
2008,NA,NA,NA,NA,"VIR"
2009,NA,NA,NA,NA,"VIR"
2010,NA,NA,NA,NA,"VIR"
2011,NA,NA,NA,NA,"VIR"
2012,NA,NA,NA,NA,"VIR"
2013,NA,NA,NA,NA,"VIR"
2014,NA,NA,NA,NA,"VIR"
2015,NA,NA,NA,NA,"VIR"
2016,NA,NA,NA,NA,"VIR"
2017,NA,NA,NA,NA,"VIR"
2018,NA,NA,NA,NA,"VIR"
2019,NA,NA,NA,NA,"VIR"
2000,68,15,29.8,23.5,"VNM"
2001,65,14.4,28.5,22.6,"VNM"
2002,62,13.8,27.4,21.7,"VNM"
2003,59,13.3,26.4,21,"VNM"
2004,57,12.9,25.6,20.4,"VNM"
2005,54,12.6,24.9,19.9,"VNM"
2006,51,12.3,24.4,19.4,"VNM"
2007,49,12.1,23.9,19.1,"VNM"
2008,49,12,23.5,18.8,"VNM"
2009,48,11.8,23.2,18.5,"VNM"
2010,47,11.7,22.9,18.3,"VNM"
2011,47,11.6,22.7,18.1,"VNM"
2012,46,11.5,22.4,17.9,"VNM"
2013,46,11.3,22.2,17.8,"VNM"
2014,45,11.2,22,17.6,"VNM"
2015,45,11.1,21.8,17.4,"VNM"
2016,44,10.9,21.6,17.3,"VNM"
2017,43,10.7,21.4,17.1,"VNM"
2018,NA,10.5,21.3,17,"VNM"
2019,NA,10.2,21.1,16.9,"VNM"
2000,140,12,28.5,23.9,"VUT"
2001,135,11.9,28.3,23.7,"VUT"
2002,128,11.8,28.1,23.6,"VUT"
2003,123,11.9,28.1,23.5,"VUT"
2004,119,12,28.1,23.6,"VUT"
2005,113,12.1,28.2,23.6,"VUT"
2006,108,12.2,28.4,23.8,"VUT"
2007,103,12.3,28.6,23.9,"VUT"
2008,99,12.3,28.8,24.1,"VUT"
2009,96,12.4,29,24.2,"VUT"
2010,92,12.4,29.1,24.3,"VUT"
2011,88,12.5,29.3,24.5,"VUT"
2012,85,12.5,29.3,24.5,"VUT"
2013,82,12.4,29.1,24.3,"VUT"
2014,80,12.2,28.8,24.1,"VUT"
2015,76,12,28.2,23.6,"VUT"
2016,74,11.7,27.6,23.2,"VUT"
2017,72,11.5,26.9,22.7,"VUT"
2018,NA,11.1,26.3,22.2,"VUT"
2019,NA,10.9,25.6,21.6,"VUT"
2000,342,30.4,75.8,52.8,NA
2001,335,29.5,73.2,51.1,NA
2002,328,28.6,70.5,49.3,NA
2003,319,27.7,67.8,47.6,NA
2004,309,26.8,65.4,45.9,NA
2005,296,25.9,62.5,44.2,NA
2006,284,25.1,60,42.6,NA
2007,274,24.3,57.6,41,NA
2008,265,23.6,55.5,39.6,NA
2009,257,22.8,53,38.1,NA
2010,248,22.1,51.2,36.9,NA
2011,241,21.5,49,35.5,NA
2012,234,20.9,47.2,34.4,NA
2013,229,20.3,45.5,33.3,NA
2014,224,19.8,44,32.3,NA
2015,219,19.3,42.6,31.4,NA
2016,214,18.8,41.3,30.6,NA
2017,211,18.3,40,29.7,NA
2018,NA,17.9,38.8,28.9,NA
2019,NA,17.4,37.7,28.1,NA
2000,88,8.7,21.2,18.1,"WSM"
2001,85,8.4,20.6,17.6,"WSM"
2002,84,8.2,20.1,17.1,"WSM"
2003,80,8,19.7,16.8,"WSM"
2004,74,7.8,19.4,16.6,"WSM"
2005,72,7.8,19.3,16.5,"WSM"
2006,66,7.7,19.3,16.5,"WSM"
2007,62,7.7,19.3,16.5,"WSM"
2008,60,7.8,19.3,16.5,"WSM"
2009,58,7.9,25.7,18.8,"WSM"
2010,58,7.8,19.3,16.6,"WSM"
2011,54,7.8,19.2,16.5,"WSM"
2012,52,7.7,19.1,16.4,"WSM"
2013,48,7.6,18.9,16.2,"WSM"
2014,47,7.5,18.7,16.1,"WSM"
2015,45,7.4,18.6,15.9,"WSM"
2016,44,7.3,18.4,15.7,"WSM"
2017,43,7.2,18.1,15.5,"WSM"
2018,NA,7,17.8,15.3,"WSM"
2019,NA,6.9,17.4,15,"WSM"
2000,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA
2006,NA,NA,NA,NA,NA
2007,NA,NA,NA,NA,NA
2008,NA,NA,NA,NA,NA
2009,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA
2011,NA,NA,NA,NA,NA
2012,NA,NA,NA,NA,NA
2013,NA,NA,NA,NA,NA
2014,NA,NA,NA,NA,NA
2015,NA,NA,NA,NA,NA
2016,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2018,NA,NA,NA,NA,NA
2019,NA,NA,NA,NA,NA
2000,301,37,95,68.8,"YEM"
2001,290,36,90.3,65.8,"YEM"
2002,278,35,85.7,62.8,"YEM"
2003,266,34,81.2,60,"YEM"
2004,254,32.9,76.9,57.3,"YEM"
2005,242,32,73,54.8,"YEM"
2006,230,31,69.1,52.3,"YEM"
2007,219,30,65.6,50,"YEM"
2008,208,29.1,62.4,48,"YEM"
2009,200,28.5,60.1,46.4,"YEM"
2010,192,28.1,58.8,45.5,"YEM"
2011,187,28,58.5,45.3,"YEM"
2012,184,28,58.8,45.4,"YEM"
2013,175,28.1,58.4,45.2,"YEM"
2014,174,28.1,58.7,45.4,"YEM"
2015,169,28.2,60.7,46.1,"YEM"
2016,165,28.2,60.3,46,"YEM"
2017,164,28.2,60.2,45.9,"YEM"
2018,NA,28.2,61.6,46.5,"YEM"
2019,NA,28.2,61.5,46.4,"YEM"
2000,160,16.9,71.5,47.7,"ZAF"
2001,168,16.4,73.1,47.8,"ZAF"
2002,177,15.9,74.3,47.9,"ZAF"
2003,186,15.4,75.7,48.4,"ZAF"
2004,195,14.8,77.7,49.4,"ZAF"
2005,201,14.4,78.8,49.4,"ZAF"
2006,201,13.9,79.2,48.7,"ZAF"
2007,199,13.4,75.3,46.6,"ZAF"
2008,191,13,68.9,43,"ZAF"
2009,179,12.5,60.3,38.4,"ZAF"
2010,171,12,52,34.4,"ZAF"
2011,161,11.6,45.6,32.1,"ZAF"
2012,143,11.3,41.5,31,"ZAF"
2013,133,11.1,39.3,30.1,"ZAF"
2014,128,11,37.6,29.4,"ZAF"
2015,125,11.1,36.3,28.6,"ZAF"
2016,122,11.1,35.2,28,"ZAF"
2017,119,11.1,34.6,27.6,"ZAF"
2018,NA,11,33.9,26.9,"ZAF"
2019,NA,10.8,33,26.3,"ZAF"
2000,528,34.3,155.9,90.2,"ZMB"
2001,491,33.3,146.9,85.3,"ZMB"
2002,465,31.9,136.1,79.2,"ZMB"
2003,453,30.5,125.4,73.2,"ZMB"
2004,437,29.1,115.2,67.1,"ZMB"
2005,421,27.9,106.2,61.9,"ZMB"
2006,406,27.1,98.5,58.4,"ZMB"
2007,387,26.6,93.2,56.7,"ZMB"
2008,356,26.3,88.7,54.5,"ZMB"
2009,329,26.1,83.6,52.9,"ZMB"
2010,305,26,79,51.2,"ZMB"
2011,283,25.8,76.8,50.1,"ZMB"
2012,267,25.6,74.7,49.1,"ZMB"
2013,254,25.5,71.1,46.6,"ZMB"
2014,242,25.4,68.3,46,"ZMB"
2015,232,25.3,67.7,46.9,"ZMB"
2016,222,25.2,65.3,45.6,"ZMB"
2017,213,25,64.6,44.3,"ZMB"
2018,NA,24.7,65.4,43.9,"ZMB"
2019,NA,24.4,64.1,42.9,"ZMB"
2000,579,24.6,95.5,51.9,"ZWE"
2001,629,25.2,93.8,51.1,"ZWE"
2002,666,26.1,92.6,50.7,"ZWE"
2003,680,27.2,91.6,50.4,"ZWE"
2004,686,28.2,92.4,51.2,"ZWE"
2005,685,29.1,93.1,51.7,"ZWE"
2006,680,30,95,53.4,"ZWE"
2007,671,30.7,95.7,54.6,"ZWE"
2008,657,31.2,94.5,54.5,"ZWE"
2009,632,31.2,91.3,54,"ZWE"
2010,598,30.8,86.4,52.1,"ZWE"
2011,557,30.1,80.8,50.8,"ZWE"
2012,528,29.4,72.2,46.5,"ZWE"
2013,509,28.7,66.3,44.8,"ZWE"
2014,494,28.2,62.7,42.9,"ZWE"
2015,480,27.8,61.3,42.1,"ZWE"
2016,468,27.4,58.7,40.8,"ZWE"
2017,458,27,57,39.9,"ZWE"
2018,NA,26.6,54.8,38.8,"ZWE"
2019,NA,26.2,54.2,38.1,"ZWE"
